"P id","property label","P domain id","domain","P range id","range",,"TP id","typed property label","typed property example","TP FOL 1","TP FOL 2","TP FOL 3","shortcut statement",,"NTP id","negative typed property label","negative typed property example","NTP FOL 1","NTP FOL 2"
"P41","classified (was classified by)","E17","Type Assignment","E1","CRM Entity",,"TP41","classified entity of type","classified a book","TP41(x,y) ⇒ E17(x)","TP41(x,y) ⇒ E55(y)","TP41(x,y) ⇔ (∃ z)[E1(z) ∧ P41(x,z) ∧ P2(z,y)]","This property is a shortcut of the fully developed path: E17 Type Assignment, _P41 classified (was classified by)_, E1 CRM Entity, _P2 has type_, E55 Type",,"NTP41","did not classify entity of type","did not classify a book","NTP41(x,y) ⇒ E17(x)","NTP41(x,y) ⇒ E55(y)"
"P141","assigned (was assigned by)","E13","Attribute Assignement","E1","CRM Entity",,"TP141","assigned entity of type","assessed condition","TP141(x,y) ⇒ E13(x)","TP141(x,y) ⇒ E55(y)","TP141(x,y) ⇔ (∃ z)[E1(z) ∧ P141(x,z) ∧ P2(z,y)]","This property is a shortcut of the fully developed path: E13 Attribute Assignement, _P141 assigned (was assigned by)_, E1 CRM Entity, _P2 has type_, E55 Type",,"NTP141","did not assign entity of type","did not assess condition","NTP141(x,y) ⇒ E13(x)","NTP141(x,y) ⇒ E55(y)"
"P35","has identified (identified by)","E14","Condition Assessment","E3","Condition State",,"TP35","has identified condition state of type","has identified mould on the book","TP35(x,y) ⇒ E14(x)","TP35(x,y) ⇒ E55(y)","TP35(x,y) ⇔ (∃ z)[E3(z) ∧ P35(x,z) ∧ P2(z,y)]","This property is a shortcut of the fully developed path: E14 Condition Assessment, _P35 has identified (identified by)_, E3 Condition State, _P2 has type_, E55 Type",,"NTP35","has not identified condition state of type","has not identified mould on the book","NTP35(x,y) ⇒ E14(x)","NTP35(x,y) ⇒ E55(y)"
"P37","assigned (was assigned by)","E15","Identifier Assignement","E42","Identifier",,"TP37","assigned identifier of type","assigned an ISBN to the book","TP37(x,y) ⇒ E15(x)","TP37(x,y) ⇒ E55(y)","TP37(x,y) ⇔ (∃ z)[E42(z) ∧ P37(x,z) ∧ P2(z,y)]","This property is a shortcut of the fully developed path: E15 Identifier Assignement, _P37 assigned (was assigned by)_, E42 Identifier, _P2 has type_, E55 Type",,"NTP37","did not assign identifier of type","did not assign ISBN to the book","NTP37(x,y) ⇒ E15(x)","NTP37(x,y) ⇒ E55(y)"
"P38","deassigned (was deassigned by)","E15","Identifier Assignement","E42","Identifier",,"TP38","deassigned identifier of type","deassigned the ISBN of the book","TP38(x,y) ⇒ E15(x)","TP38(x,y) ⇒ E55(y)","TP38(x,y) ⇔ (∃ z)[E42(z) ∧ P38(x,z) ∧ P2(z,y)]","This property is a shortcut of the fully developed path: E15 Identifier Assignement, _P38 deassigned (was deassigned by)_, E42 Identifier, _P2 has type_, E55 Type",,"NTP38","did not deassign identifier of type","did not deassign ISBN","NTP38(x,y) ⇒ E15(x)","NTP38(x,y) ⇒ E55(y)"
"P40","observed dimension (was observed in)","E16","Measurement","E54","Dimension",,"TP40","observed dimension of type","observed dimension of radius","TP40(x,y) ⇒ E16(x)","TP40(x,y) ⇒ E55(y)","TP40(x,y) ⇔ (∃ z)[E54(z) ∧ P40(x,z) ∧ P2(z,y)]","This property is a shortcut of the fully developed path: E16 Measurement, _P40 observed dimension (was observed in)_, E54 Dimension, _P2 has type_, E55 Type",,"NTP40","did not observe dimension of type","did not observe dimension of radius","NTP40(x,y) ⇒ E16(x)","NTP40(x,y) ⇒ E55(y)"
"P42","assigned (was assigned by)","E17","Type Assignment","E55","Type",,"",,,"","","","This property is a shortcut of the fully developed path: E17 Type Assignment, _P42 assigned (was assigned by)_, E55 Type, _P2 has type_, E55 Type",,"NTP42","did not assign type","did not classify the binding as stitched ","NTP42(x,y) ⇒ E17(x)","NTP42(x,y) ⇒ E55(y)"
"P147","curated (was curated by)","E87","Curation Activity","E78","Curated Holding",,"TP147","curated curated holding of type","curated collection of pottery","TP147(x,y) ⇒ E87(x)","TP147(x,y) ⇒ E55(y)","TP147(x,y) ⇔ (∃ z)[E78(z) ∧ P147(x,z) ∧ P2(z,y)]","This property is a shortcut of the fully developed path: E87 Curation Activity, _P147 curated (was curated by)_, E78 Curated Holding, _P2 has type_, E55 Type",,"NTP147","did not curate curated holding of type","did not curate a collection of pottery","NTP147(x,y) ⇒ E87(x)","NTP147(x,y) ⇒ E55(y)"
"P148","has component (is component of)","E89","Propositional Object","E89","Propositional Object",,"TP148","has component of type","my thesis has component of type appendix","TP148(x,y) ⇒ E89(x)","TP148(x,y) ⇒ E55(y)","TP148(x,y) ⇔ (∃ z)[E89(z) ∧ P148(x,z) ∧ P2(z,y)]","This property is a shortcut of the fully developed path: E89 Propositional Object, _P148 has component (is component of)_, E89 Propositional Object, _P2 has type_, E55 Type",,"NTP148","does not have component of type","my thesis does not have appendices","NTP148(x,y) ⇒ E89(x)","NTP148(x,y) ⇒ E55(y)"
"P150","defines typical parts of(defines typical wholes for)","E55","Type","E55","Type",,"",,,"","","","This property is a shortcut of the fully developed path: E55 Type, _P150 defines typical parts of(defines typical wholes for)_, E55 Type, _P2 has type_, E55 Type",,"NTP150","does not define typical parts of","the object hierarchy of LoB does not define typical parts of materials","NTP150(x,y) ⇒ E55(x)","NTP150(x,y) ⇒ E55(y)"
"P152","has parent(is parent of)","E21","Person","E21","Person",,"TP152","has parent of type",,"TP152(x,y) ⇒ E21(x)","TP152(x,y) ⇒ E55(y)","TP152(x,y) ⇔ (∃ z)[E21(z) ∧ P152(x,z) ∧ P2(z,y)]","This property is a shortcut of the fully developed path: E21 Person, _P152 has parent(is parent of)_, E21 Person, _P2 has type_, E55 Type",,"NTP152","does not have parent of type",,"NTP152(x,y) ⇒ E21(x)","NTP152(x,y) ⇒ E55(y)"
"P157","is at rest relative to (provides reference space for)","E53","Place","E18","Physical Thing",,"TP157","is at rest relative to physical thing of type","Nelson’s place of death is at rest relative to a ship","TP157(x,y) ⇒ E53(x)","TP157(x,y) ⇒ E55(y)","TP157(x,y) ⇔ (∃ z)[E18(z) ∧ P157(x,z) ∧ P2(z,y)]","This property is a shortcut of the fully developed path: E53 Place, _P157 is at rest relative to (provides reference space for)_, E18 Physical Thing, _P2 has type_, E55 Type",,"NTP157","is not at rest relative to physical thing of type","Nelson’s place of death is not at rest relative to a fort","NTP157(x,y) ⇒ E53(x)","NTP157(x,y) ⇒ E55(y)"
"P134","continued (was continued by)","E7","Activity","E7","Activity",,"TP134","continued activity of type",,"TP134(x,y) ⇒ E7(x)","TP134(x,y) ⇒ E55(y)","TP134(x,y) ⇔ (∃ z)[E7(z) ∧ P134(x,z) ∧ P2(z,y)]","This property is a shortcut of the fully developed path: E7 Activity, _P134 continued (was continued by)_, E7 Activity, _P2 has type_, E55 Type",,"NTP134","did not continue activity of type",,"NTP134(x,y) ⇒ E7(x)","NTP134(x,y) ⇒ E55(y)"
"P179","had sales price (was sales price of)","E96","Purchase","E97","Monetary Amount",,"TP179","had sales price of monetary amount of type","book sold at auction starter price","TP179(x,y) ⇒ E96(x)","TP179(x,y) ⇒ E55(y)","TP179(x,y) ⇔ (∃ z)[E97(z) ∧ P179(x,z) ∧ P2(z,y)]","This property is a shortcut of the fully developed path: E96 Purchase, _P179 had sales price (was sales price of)_, E97 Monetary Amount, _P2 has type_, E55 Type",,"NTP179","did not have sales price of monetary amount of type","book did not sell at auction maximum price","NTP179(x,y) ⇒ E96(x)","NTP179(x,y) ⇒ E55(y)"
"P186","produced thing of product type (is produced by)","E12","Production","E99","Product Type",,"",,,"","","","This property is a shortcut of the fully developed path: E12 Production, _P186 produced thing of product type (is produced by)_, E99 Product Type, _P2 has type_, E55 Type",,"NTP186","did not produce thing of product type","volkswagen beettle production did not produce mini","NTP186(x,y) ⇒ E12(x)","NTP186(x,y) ⇒ E55(y)"
"P187","has production plan (is production plan for)","E99","Product Type","E29","Design or Procedure",,"TP187","has production plan of type","volswagen beetle production has electrics plan","TP187(x,y) ⇒ E99(x)","TP187(x,y) ⇒ E55(y)","TP187(x,y) ⇔ (∃ z)[E29(z) ∧ P187(x,z) ∧ P2(z,y)]","This property is a shortcut of the fully developed path: E99 Product Type, _P187 has production plan (is production plan for)_, E29 Design or Procedure, _P2 has type_, E55 Type",,"NTP187","does not have production plan of type","volswagen beetle production does not have electrics plan","NTP187(x,y) ⇒ E99(x)","NTP187(x,y) ⇒ E55(y)"
"P188","requires production tool (is production tool for)","E99","Product Type","E19","Physical Object",,"TP188","requires production tool of type","volkswagen beetle production requires metal press","TP188(x,y) ⇒ E99(x)","TP188(x,y) ⇒ E55(y)","TP188(x,y) ⇔ (∃ z)[E19(z) ∧ P188(x,z) ∧ P2(z,y)]","This property is a shortcut of the fully developed path: E99 Product Type, _P188 requires production tool (is production tool for)_, E19 Physical Object, _P2 has type_, E55 Type",,"NTP188","does not require production tool of type","volkswagen beetle production does not require metal press","NTP188(x,y) ⇒ E99(x)","NTP188(x,y) ⇒ E55(y)"
